GEOID,B19013_001E,B19013_001M,B25077_001E,B25077_001M,B25064_001E,B25064_001M,B25003_001E,B25003_001M,B25003_003E,B25003_003M,B08301_001E,B08301_001M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_010E,B08301_010M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
13121010120,90859,17845,213300,59626,1862,95,1495,348,691,157,2218,533,1540,418,84,134,26,31,0,14,0,14,0,14,46,59,7,18,515,279
13121010121,122880,30195,513300,174197,2072,397,1541,199,507,128,1427,245,737,225,16,25,78,57,0,14,0,14,0,14,0,14,11,17,585,171
13121010124,97701,43971,350200,6905,1967,150,1033,481,598,134,1468,519,677,194,149,80,13,29,20,29,0,14,0,14,0,14,53,54,556,469
13121010125,89017,14464,236600,33131,1690,83,1581,258,929,136,2058,364,1063,325,185,120,287,312,19,31,0,14,0,14,63,101,27,86,414,212
13121010126,90179,22590,189700,29221,1927,142,1171,276,503,130,1318,217,683,185,69,66,19,28,0,14,0,14,0,14,60,72,14,22,473,146
13121010127,153581,27820,584400,41658,2308,90,1124,181,355,121,1655,450,898,252,83,78,0,14,0,14,0,14,0,14,36,48,4,9,634,294
13121010128,76479,19120,-666666666,-222222222,1976,229,731,216,731,216,1268,342,568,212,91,107,47,55,15,27,0,14,0,14,0,14,0,14,547,409
13121010129,93463,12177,847500,294461,1860,73,2481,401,1715,283,2780,489,1824,360,32,47,0,14,0,14,0,14,0,14,49,80,0,14,875,392
13121010130,94495,17131,351300,79843,2020,230,2013,352,1331,363,2602,504,1265,362,0,14,25,34,55,80,0,14,0,14,0,14,0,14,1257,399
13121010131,97455,46731,574700,50804,2019,246,1251,388,810,394,1337,347,499,170,19,29,76,65,0,14,0,14,0,14,19,30,101,105,623,316
13121010132,112705,25546,405800,113260,2029,233,1912,357,1252,346,2190,544,1440,472,103,82,122,152,5,9,0,14,0,14,34,37,38,46,448,218
13121010133,91156,23528,460100,76800,2227,176,3373,355,2663,355,3369,511,2311,516,0,20,33,51,0,20,0,20,108,122,0,20,0,20,917,267
13121010134,79607,12436,169800,16356,1671,191,1258,239,934,179,1386,309,641,159,180,174,161,151,20,32,0,14,0,14,0,14,0,14,384,225
13121010135,50739,22914,445000,255908,1518,322,947,190,712,185,1145,221,793,244,70,85,87,147,0,14,0,14,0,14,16,27,0,14,179,123
13121010136,138438,63937,983000,196492,2281,88,1559,382,808,395,2344,603,1424,572,128,75,50,57,0,14,0,14,0,14,38,43,0,14,704,202
13121010137,81818,31380,702600,146293,1584,195,1694,331,860,319,2199,419,1384,373,35,42,114,94,21,36,0,14,0,14,0,14,27,31,618,242
13121010204,182708,45778,792000,89991,3501,-333333333,1870,230,79,65,2046,235,1018,193,24,28,27,43,0,14,0,14,0,14,0,14,62,60,915,217
13121010211,241250,37677,1532800,459095,2311,245,1403,234,516,153,1998,456,1547,438,9,14,0,14,9,14,0,14,0,14,19,27,0,14,414,172
13121010212,96550,62639,631000,85314,1588,204,2461,463,1248,371,3048,811,1787,513,256,204,14,25,157,183,0,20,0,20,74,115,0,20,760,377
13121010213,63500,35360,199400,79483,1533,205,532,75,385,74,521,142,285,82,0,14,11,13,0,14,0,14,0,14,0,14,10,18,215,148
13121010214,58116,50282,868200,59857,1423,101,1535,622,952,230,1013,356,453,203,71,89,85,89,0,14,0,14,0,14,0,14,0,14,404,259
13121010215,138365,36584,662500,55427,2132,282,877,206,285,108,1076,185,741,187,36,34,39,60,0,14,0,14,0,14,0,14,0,14,260,80
13121010216,112411,30520,392900,178109,2141,482,1357,249,538,243,1849,292,858,195,153,123,42,46,0,14,0,14,0,14,11,16,156,117,629,190
