map_unit,name,age,description,geomaterial,hierarchy
PZpCmg,Metaigneous rocks,Paleozoic to Precambrian,"Mostly metavolcanic rocks, locally includes units with intrusive protoliths.",Metaigneous rock,"09-02-02"
CAZms,Metasedimentary rocks,Cambrian to Neoproterozoic,"Metasedimentary rocks of variable metamorphic grade, ranging from Cambrian to Neoproterozoic.",Metasedimentary rock,"09-02-01-01"
CAs,Sedimentary rocks,Cambrian,Carbonate rocks and lesser clastic sedimentary rocks.,Mostly carbonate rock,"08-01-09-01"
CAm,Metamorphic rocks,Cambrian,"Quartzite, lesser phyllite and other metamorphic rocks.",Metasedimentary rock,"08-01-09-02"
PPNs,Sedimentary rocks,Permian to Pennsylvanian,"Clastic sedimentary, carbonate, and minor evaporitic rocks with ages that may range from Permian to Pennsylvanian.",Sedimentary rock,"08-01-02"
Ti,Intrusive rocks,Tertiary,Intrusive rocks of all compostions and textures.,Intrusive igneous rock,"04-02-01"
Tva,Intermediate volcanic rocks,Tertiary,Intermediate lava flows.,Intermediate-composition lava flows,"04-02-02"
Tvr,Felsic volcanic rocks,Tertiary,"Felsic pyroclastic flows, lava flows, and air-fall tephra.",Felsic-composition pyroclastic flows,"04-02-03"
Cs,Sedimentary rocks,Pennsylvanian to Mississippian (Carboniferous),Clastic sedimentary and carbonate rocks with ages that may range from Pennsylvanian to Mississippian.,Sedimentary rock,"08-01-05"
MZm,Metamorphic rocks,Mesozoic,"Metamorphic rocks with a wide variety of grades and protoliths, locally includes some breccia andf melange units.",Metamorphic rock,"06-03"
Dsl,Sedimentary rocks,Late Devonian,Sandstone and mudstone with minor carbonate rocks.,Sandstone and mudstone,"08-01-06-01"
Dsme,Sedimentary rocks,Middle Devonian to Early Devonian,"Clastic sedimentary and carbonate rocks, minor chert.",Sedimentary rock,"08-01-06-02"
TpCim,Igneous and metamorphic rocks of unspecified age,Tertiary to Precambrian,Igneous and metamorphic rocks of unknown age.,Igneous and metamorphic rock,"12"
QTs,"Clastic sediments, undifferentiated",Quaternary and Tertiary,"Mostly sand and gravel, with minor carbonate and finer-grained clastic rocks; age of source units may range from Quaternary to Tertiary.",Clastic sediment,"03-01"
QTv,Volcanic rocks,Quaternary and Tertiary,"Mostly intermediate to mafic lava flows, includes all volcanic rocks with ages that may range from Quaternary to Tertiary.",Extrusive igneous material,"03-02"
Tvs,Volcaniclastic rocks,Tertiary,"Units with mixed sedimentary and volcanic lithologies, and minor reworked pyroclastic material.",Sedimentary and extrusive igneous material,"04-03"
MZvs,Volcaniclastic rocks,Mesozoic,Units that include both sedimentary and extrusive igneous rocks.,Sedimentary and extrusive igneous material,"06-05"
PZum,Ultramafic rocks,Paleozoic,Mostly pyroxenite and peridotite.,Ultramafic intrusive igneous rock,"08-02-01"
PZm,Undifferentiated metamorphic rocks,Paleozoic,"Mostly melange and other deformation-related rocks, some high-grade gneisses, and minor undifferentiated low-grade rocks.",Metamorphic rock,"08-03"
PRum,Ultramafic rocks,Proterozoic,Variably metamorphosed ultramafic rocks.,Meta-ultramafic rock,10-01-01
Zs,Clastic sedimentary rocks,Neoproterozoic,"Clastic sedimentary rocks, locally includes minor limestone.",Clastic sedimentary rock,10-01-02-01
Zg,Granitic rocks,Neoproterozoic,Mostly granitic rocks with lesser gabbro and felsic lava flows.,Coarse-grained intrusive igneous rock,10-01-02-02
Zm,Metamorphic and igneous rocks,Neoproterozoic,Undifferentiated gneisses.,"Medium and high-grade regional metamorphic rock, of unspecified origin",10-01-02-03
Zms,Metasedimentary rocks,Neoproterozoic,Metasedimentary rocks of variable metamorphic grade.,Metasedimentary rock,10-01-02-03-01
Zmg,Metaigneous rocks,Neoproterozoic,Metamorphosed extrusive and intrusive igneous rocks of variable metamorphic grade.,Metaigneous rock,10-01-02-03-02
Yu,Undifferentiated Mesoproterozoic rocks,Mesoproterozoic,"Metamorphic rocks, mostly of medium to high-grade with unspecified or unknown protoliths.","Medium and high-grade regional metamorphic rock, of unspecified origin",10-01-03
Yms,Sedimentary and metasedimentary rocks,Mesoproterozoic,"Metasedimentary schists and gneisses, locally includes some lower-grade rocks.",Metasedimentary rock,10-01-03-01
Ymss,Clastic sedimentary rocks,Mesoproterozoic,"Clastic sedimentary rocks, mostly sandstones or quartzites.",Mostly sandstone,10-01-03-01-01
Ymc,Marble and calc-silicate rocks,Mesoproterozoic,"Marble and calc-silicate rocks,locally inlcudes minor clastic rocks.",Meta-carbonate rock,10-01-03-01-02
Yl,Igneous rocks,Mesoproterozoic,"Undifferentiated Mesoproterozoic igneous rocks. Mostly lava flows and other extrusive rocks, with lesser fine-grained intrusive rocks.",Extrusive igneous material,10-01-03-02
Ygg,Granitic rocks,Mesoproterozoic,"Coarse-grained felsic intrusive rocks, mostly granitic.","Coarse-grained, felsic-composition intrusive igneous rock",10-01-03-02-01
