GEOID,B03002_001E,B03002_001M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_012E,B03002_012M
131210098023,1187,316,1072,300,20,32,0,14,58,78,0,14,15,22,22,32,0,14
131210099001,980,422,868,402,46,53,0,14,0,14,0,14,0,14,9,16,57,93
131210099002,1136,574,1095,570,0,14,0,14,0,14,0,14,0,14,5,10,36,43
131210099003,874,322,831,315,0,14,0,14,0,14,0,14,0,14,43,62,0,14
131210099004,1152,466,657,268,256,379,0,14,101,144,0,14,0,14,54,61,84,107
131210099005,883,268,810,269,50,58,0,14,0,14,0,14,0,14,0,14,23,40
131210100031,2343,614,1926,516,213,270,0,14,139,153,0,14,0,14,65,83,0,14
131210100041,1216,392,774,398,329,208,0,14,0,14,0,14,0,14,56,60,57,50
131210100042,1173,882,612,273,223,276,0,14,33,37,0,14,0,14,63,79,242,326
131210100051,1331,232,1281,238,0,14,0,14,12,18,0,14,0,14,38,43,0,14
131210100052,1597,271,1464,262,59,93,0,14,0,14,0,14,0,14,10,16,64,57
131210100071,756,177,642,173,47,40,9,19,41,67,0,14,0,14,10,17,7,11
131210100072,1065,469,696,248,0,14,0,14,109,127,0,14,45,70,19,33,196,268
131210101061,573,295,197,170,221,157,0,14,96,147,0,14,24,40,0,14,35,30
131210101062,872,427,782,415,23,35,15,23,44,61,0,14,0,14,8,11,0,14
131210101063,1372,388,691,310,274,128,0,14,10,17,0,14,0,14,222,233,175,170
131210101064,782,173,601,175,88,81,0,14,80,83,0,14,0,14,0,14,13,20
131210101071,977,162,815,147,14,19,0,14,49,42,0,14,32,46,60,61,7,11
131210101072,934,186,768,187,21,21,0,14,73,55,0,14,0,14,18,22,54,45
131210101081,2380,764,2013,731,164,218,0,14,0,14,9,17,10,15,24,38,160,178
131210101082,1308,509,1169,543,58,69,0,14,54,64,0,14,0,14,17,20,10,16
131210101083,1003,315,587,237,347,288,4,7,25,40,0,14,0,14,29,46,11,22
131210101151,1622,400,1021,194,36,44,0,14,135,133,0,14,0,14,35,42,395,334
131210101152,1485,294,685,198,701,251,10,22,21,22,0,14,0,14,0,14,68,43
131210101171,1839,457,657,260,690,372,7,11,328,248,0,14,0,14,144,112,13,21
131210101172,706,420,158,117,158,149,0,14,0,14,0,14,0,14,71,89,319,346
131210101173,1383,586,359,162,557,477,0,14,141,154,0,14,0,14,45,53,281,189
131210101201,1019,380,417,183,227,160,0,14,106,118,0,14,0,14,251,309,18,26
131210101202,1877,700,1019,644,283,163,0,14,21,23,0,14,214,282,90,72,250,188
131210101211,1639,410,1005,198,357,341,0,14,106,76,0,14,0,14,90,66,81,99
131210101212,325,118,148,76,118,96,0,14,48,58,0,14,0,14,0,14,11,19
131210101213,815,213,534,239,170,122,0,14,54,47,0,14,0,14,0,14,57,46
131210101241,119,96,34,41,24,40,0,14,0,14,0,14,0,14,7,11,54,85
131210101242,1528,301,211,138,773,252,0,14,0,14,0,14,0,14,70,91,474,299
131210101243,536,464,126,68,34,52,0,14,17,30,0,14,15,26,15,26,329,453
131210101251,1798,794,578,395,537,368,0,14,27,29,0,14,0,14,353,271,303,312
131210101252,1444,326,555,190,706,261,0,14,41,50,0,14,63,101,49,74,30,38
131210101261,472,184,270,146,69,77,0,14,82,61,0,14,0,14,0,14,51,62
131210101262,639,209,254,142,79,78,5,10,0,14,0,14,26,40,26,24,249,159
131210101263,934,346,467,271,124,88,0,14,102,82,0,14,0,14,25,41,216,174
